site area,structure type,water consumption,recycling rate,utilisation rate,air qality index,issue reolution time,resident count,electricity cost,Appliance_Type,Meter_Type,Usage_Pattern,Energy_Source,Maintenance_Status,Peak_Hour_Usage,Backup_Power,Weather_Condition
3133,Residential,5680,19,86,85,48,12,2899,Washing Machine,Analog,Low,Solar,Poor,No,None,Winter
2901,Commercial,4269,56,79,156,19,0,3206,Refrigerator,Analog,Medium,Solar,Good,Yes,Inverter,Summer
775,Residential,1000,11,71,39,52,19,1490,Fan,Analog,Low,Grid,Good,No,Generator,Rainy
2653,Industrial,4856,54,62,160,54,0,3587,Fan,Smart,Low,Solar,Poor,Yes,None,Rainy
2116,Commercial,1354,26,65,153,47,0,2191,Refrigerator,Smart,Medium,Solar,Average,No,Inverter,Rainy
1119,Residential,1206,69,None,96,33,58,2020,Refrigerator,Smart,High,Solar,Good,Yes,Generator,Winter
2589,Mixed-use,3262,54,93,60,14,234,2442,Refrigerator,Smart,High,Wind,Average,No,Inverter,Summer
4688,Commercial,7387,84,73,15,9,0,4111,Refrigerator,Analog,Low,Grid,Poor,Yes,None,Winter
1386,Commercial,1768,85,84,24,21,0,1840,Fan,Smart,High,Solar,Poor,Yes,Generator,Summer
1357,Mixed-use,2630,13,72,143,43,111,1643,Washing Machine,Analog,High,Grid,Good,Yes,None,Summer
1117,Mixed-use,1209,16,90,161,2,14,1658,Refrigerator,Analog,High,Wind,Poor,No,Inverter,Winter
3091,Residential,3207,67,92,163,72,223,4119,Washing Machine,Smart,Medium,Solar,Good,No,None,Winter
1266,Residential,1887,65,54,85,65,119,2038,AC,Analog,High,Wind,Good,Yes,Inverter,Winter
2080,Commercial,2996,25,98,91,68,0,2709,Washing Machine,Smart,Low,Solar,Average,Yes,None,Summer
3261,Mixed-use,1555,83,30,90,8,319,1893,Refrigerator,Smart,Low,Solar,Good,No,None,Rainy
3667,Residential,4172,38,80,126,55,205,3547,AC,Smart,Medium,Wind,Good,No,Generator,Winter
2492,Commercial,2567,30,91,143,33,0,2561,Heater,Smart,Medium,Solar,Average,Yes,None,Summer
4298,Residential,6416,68,73,124,69,413,5370,Fan,Smart,Medium,Grid,Poor,No,Generator,Summer
3325,Residential,1871,18,65,11,14,53,2432,AC,Smart,Low,Wind,Good,Yes,Generator,Rainy
812,Residential,1499,90,80,95,50,14,1193,Refrigerator,Analog,Medium,Grid,Good,Yes,Inverter,Rainy
4894,Mixed-use,3826,21,98,80,46,441,3774,Heater,Analog,Low,Wind,Average,Yes,Generator,Winter
2927,Mixed-use,2067,10,96,92,33,208,2546,Fan,Smart,Low,Solar,Good,Yes,Generator,Rainy
1404,Commercial,2234,78,81,20,6,0,1791,Heater,Analog,Low,Solar,Poor,No,Generator,Rainy
1888,Residential,1604,79,85,147,18,100,2515,Fan,Analog,Medium,Solar,Poor,No,Generator,Winter
2292,Residential,2490,41,None,117,43,68,1838,Refrigerator,Smart,Low,Solar,Good,Yes,None,Summer
3236,Commercial,4967,85,97,191,20,0,3552,Fan,Smart,Medium,Wind,Average,No,None,Rainy
822,Residential,1000,14,58,190,8,63,1544,Fan,Analog,Low,Wind,Good,No,Generator,Winter
3940,Residential,3597,12,45,146,16,92,3381,Refrigerator,Smart,High,Grid,Poor,Yes,Generator,Winter
2839,Residential,4300,10,91,118,11,62,2867,Washing Machine,Analog,High,Solar,Poor,Yes,Generator,Winter
2883,Mixed-use,2049,47,57,49,42,259,2247,Heater,Smart,Low,Wind,Poor,No,Inverter,Rainy
3657,Commercial,5692,80,38,97,66,0,3441,Washing Machine,Smart,Low,Wind,Poor,No,Inverter,Rainy
4906,Residential,4193,63,86,104,13,300,4914,AC,Analog,High,Solar,Average,Yes,Inverter,Winter
3940,Residential,6872,23,51,35,10,36,3202,Fan,Analog,Medium,Wind,Poor,No,Inverter,Rainy
4851,Commercial,3984,51,52,35,41,0,4049,Heater,Analog,Medium,Wind,Poor,No,Inverter,Winter
4298,Commercial,7984,55,37,94,37,0,3715,Refrigerator,Analog,Low,Grid,Good,No,Generator,Rainy
1536,Residential,1000,18,66,124,40,20,1683,AC,Analog,Medium,Solar,Good,No,Generator,Summer
1435,Residential,1120,74,47,49,42,136,1509,Fan,Analog,High,Wind,Good,No,Generator,Rainy
1712,Residential,3432,85,33,64,50,41,1601,Refrigerator,Analog,Medium,Solar,Good,Yes,None,Rainy
1151,Residential,1909,66,88,83,50,43,1944,Refrigerator,Smart,Medium,Solar,Poor,Yes,None,Summer
882,Residential,2673,83,41,28,34,32,1149,Refrigerator,Smart,High,Solar,Average,Yes,Inverter,Rainy
3452,Residential,6309,45,None,94,32,114,2941,Refrigerator,Analog,High,Solar,Average,No,Generator,Winter
645,Residential,1369,38,75,24,38,20,1108,Heater,Smart,Low,Grid,Average,No,Inverter,Rainy
3338,Residential,5403,38,47,64,3,104,2885,Washing Machine,Analog,Medium,Grid,Good,No,Inverter,Summer
1644,Commercial,2039,63,93,128,31,0,2412,Refrigerator,Smart,Medium,Wind,Average,Yes,Inverter,Winter
2944,Industrial,3187,42,58,122,58,0,3645,Washing Machine,Analog,Low,Grid,Poor,Yes,None,Rainy
1003,Commercial,1025,86,45,108,50,0,1274,AC,Analog,Medium,Grid,Good,Yes,Generator,Winter
3589,Mixed-use,2991,70,92,125,19,19,2466,Heater,Smart,High,Solar,Average,Yes,None,Winter
2107,Commercial,2080,77,64,87,16,0,2381,Fan,Analog,Low,Grid,Average,Yes,Inverter,Rainy
4083,Commercial,6778,75,57,131,13,0,4142,Washing Machine,Smart,High,Solar,Good,No,Inverter,Summer
3058,Residential,3567,22,85,34,14,203,3562,Refrigerator,Analog,Low,Wind,Good,No,Generator,Summer
4353,Industrial,7190,44,65,97,43,0,4921,Washing Machine,Analog,High,Solar,Average,No,None,Rainy
2869,Residential,6175,48,42,169,60,80,2523,Washing Machine,Analog,Medium,Wind,Average,Yes,Inverter,Rainy
1466,Residential,1000,90,52,11,1,93,1786,Fan,Smart,High,Grid,Average,Yes,Inverter,Summer
567,Industrial,1000,71,88,182,67,0,2026,Washing Machine,Analog,Medium,Solar,Average,No,None,Rainy
928,Mixed-use,2052,59,36,55,16,13,901,Fan,Analog,Low,Grid,Good,No,Generator,Summer
4329,Residential,4003,31,None,160,54,182,4751,Fan,Analog,High,Solar,Average,Yes,Generator,Winter
958,Commercial,1000,80,58,106,71,0,1385,Heater,Analog,Low,Wind,Average,Yes,Inverter,Summer
3674,Industrial,4410,27,83,134,12,0,4738,Washing Machine,Analog,Low,Solar,Good,No,None,Winter
698,Commercial,1000,64,91,136,43,0,1206,Washing Machine,Smart,Low,Solar,Average,No,Generator,Summer
4114,Commercial,3164,66,77,50,37,0,3607,Fan,Smart,High,Solar,Good,No,Inverter,Summer
1115,Residential,2842,16,62,100,65,99,1837,Heater,Smart,High,Wind,Poor,No,Generator,Winter
1145,Mixed-use,2545,88,54,101,16,39,1248,Washing Machine,Smart,High,Wind,Good,No,Generator,Winter
4485,Mixed-use,2926,17,67,19,29,13,2672,Refrigerator,Smart,Medium,Solar,Good,No,Inverter,Rainy
3572,Residential,3595,51,54,137,35,210,3564,Refrigerator,Smart,High,Grid,Good,Yes,None,Rainy
1638,Industrial,2708,57,43,71,9,0,1930,Fan,Smart,Low,Wind,Good,Yes,None,Rainy
1733,Residential,1000,15,33,8,43,73,1901,AC,Smart,Low,Grid,Poor,Yes,Generator,Rainy
724,Residential,1000,46,66,151,26,12,1125,Heater,Analog,Low,Grid,Average,No,None,Summer
2676,Commercial,2454,57,37,53,21,0,2684,Heater,Analog,High,Grid,Good,Yes,Generator,Summer
3691,Mixed-use,5386,34,52,193,29,13,2459,Washing Machine,Analog,High,Wind,Average,No,Generator,Summer
690,Residential,2044,20,33,49,55,47,1225,Heater,Smart,High,Grid,Good,No,None,Rainy
1881,Mixed-use,1349,48,61,54,59,13,1895,Washing Machine,Smart,Medium,Grid,Average,Yes,Generator,Summer
1830,Residential,1000,15,54,155,61,13,1962,Washing Machine,Smart,Medium,Solar,Poor,Yes,None,Summer
956,Residential,1635,37,40,73,32,49,1183,Refrigerator,Smart,High,Wind,Average,No,Inverter,Winter
658,Residential,1000,15,85,50,41,32,1466,Washing Machine,Smart,High,Grid,Poor,Yes,Generator,Winter
2195,Residential,1179,21,None,108,30,52,2263,Heater,Smart,Medium,Solar,Poor,Yes,None,Winter
3230,Mixed-use,1790,47,90,163,4,166,2873,Washing Machine,Analog,High,Wind,Poor,No,Inverter,Rainy
4059,Residential,5737,23,93,60,42,39,3707,Fan,Smart,Medium,Grid,Average,No,Inverter,Rainy
4024,Residential,5306,59,76,43,12,161,4053,Washing Machine,Smart,Low,Wind,Good,No,Inverter,Winter
802,Residential,1000,17,92,42,63,17,1656,Refrigerator,Analog,Low,Solar,Good,Yes,Generator,Winter
1413,Commercial,1498,78,None,79,57,0,1932,Washing Machine,Analog,Low,Wind,Average,No,Inverter,Winter
1691,Commercial,1000,90,92,40,33,0,2026,Heater,Analog,High,Grid,Good,Yes,None,Summer
1269,Residential,1774,18,38,42,51,46,1555,Refrigerator,Analog,Medium,Solar,Good,Yes,Inverter,Summer
3701,Residential,6302,34,90,160,71,195,4425,AC,Analog,Low,Solar,Poor,No,Generator,Rainy
4432,Commercial,7043,15,33,99,13,0,4008,AC,Analog,Low,Grid,Good,No,Generator,Winter
1530,Residential,1000,84,69,110,62,69,1672,Refrigerator,Smart,Medium,Grid,Average,Yes,None,Summer
3330,Residential,4498,66,62,179,15,132,3294,Washing Machine,Smart,Low,Wind,Average,No,Inverter,Rainy
1020,Residential,1389,62,83,14,25,59,1688,AC,Smart,Low,Solar,Poor,Yes,None,Summer
2535,Mixed-use,3286,31,75,21,40,211,2165,Washing Machine,Analog,Low,Grid,Average,No,None,Rainy
2262,Residential,1833,52,31,105,40,209,2525,Heater,Smart,Medium,Solar,Average,No,Inverter,Summer
1303,Commercial,1880,34,84,163,60,0,2127,AC,Smart,High,Wind,Good,Yes,None,Winter
4179,Residential,4949,37,66,112,49,200,4166,Refrigerator,Analog,Low,Solar,Good,No,None,Rainy
1160,Residential,2675,32,75,77,59,17,1689,Fan,Smart,Medium,Grid,Poor,Yes,Inverter,Summer
2187,Commercial,2224,76,63,125,24,0,2011,AC,Smart,Low,Grid,Poor,No,Inverter,Summer
502,Residential,1000,54,77,135,47,41,1567,Heater,Analog,High,Wind,Poor,Yes,Generator,Rainy
840,Residential,1000,42,81,189,19,35,1012,AC,Smart,Low,Wind,Average,No,Generator,Rainy
4934,Mixed-use,9728,35,76,145,37,166,3385,Fan,Smart,Medium,Solar,Average,Yes,Generator,Rainy
597,Residential,1000,64,99,180,59,58,1306,Fan,Smart,High,Solar,Good,Yes,None,Summer
3357,Residential,2820,79,94,40,72,141,3188,Heater,Analog,High,Grid,Average,Yes,None,Summer
3389,Residential,3233,87,76,193,35,36,2945,Fan,Analog,Medium,Grid,Good,No,Generator,Rainy
3664,Mixed-use,7274,19,45,42,23,116,2742,AC,Smart,High,Grid,Poor,Yes,Generator,Winter
977,Commercial,1000,40,None,32,34,0,2059,Washing Machine,Analog,High,Grid,Poor,Yes,Generator,Rainy
3153,Mixed-use,3260,14,87,15,41,226,2869,Washing Machine,Smart,Low,Wind,Poor,No,Inverter,Winter
1385,Residential,1298,46,40,156,58,60,1980,Heater,Analog,Low,Solar,Good,No,None,Winter
3701,Residential,4873,17,70,15,44,315,4444,Refrigerator,Smart,Medium,Wind,Poor,No,Inverter,Rainy
1482,Commercial,1000,46,94,126,72,0,2160,Fan,Analog,Medium,Wind,Good,Yes,Generator,Winter
4931,Mixed-use,8234,19,67,186,5,163,3520,AC,Smart,Medium,Grid,Good,No,Generator,Rainy
1629,Commercial,2885,64,58,73,72,0,1976,AC,Analog,Medium,Grid,Average,Yes,Inverter,Summer
3470,Residential,3790,10,56,182,1,252,3945,AC,Smart,High,Grid,Good,No,Inverter,Rainy
4018,Commercial,2940,17,58,186,22,0,3396,Heater,Analog,Low,Grid,Good,No,None,Winter
4973,Mixed-use,5718,53,65,76,15,475,3373,Washing Machine,Smart,Low,Grid,Poor,Yes,None,Summer
589,Commercial,1100,47,64,5,37,0,1319,AC,Smart,Medium,Wind,Poor,Yes,Generator,Winter
703,Industrial,1000,30,41,132,11,0,1181,AC,Analog,High,Wind,Poor,No,Inverter,Winter
3266,Commercial,3111,90,65,170,19,0,2912,Fan,Analog,Medium,Wind,Good,Yes,Generator,Rainy
4062,Residential,4396,64,93,3,21,295,4746,Washing Machine,Smart,Medium,Grid,Poor,No,None,Winter
795,Residential,1000,58,62,36,66,77,1549,AC,Analog,High,Grid,Poor,Yes,None,Winter
4311,Mixed-use,3627,14,77,113,37,394,3289,Heater,Analog,High,Wind,Poor,Yes,Inverter,Rainy
3886,Residential,4325,22,33,104,26,34,2948,Washing Machine,Analog,Low,Grid,Average,Yes,None,Winter
3449,Residential,2180,71,83,90,67,195,3584,Washing Machine,Smart,High,Wind,Good,No,Generator,Summer
2708,Residential,4697,10,87,80,15,245,3746,Fan,Smart,Medium,Grid,Good,Yes,Inverter,Winter
4637,Mixed-use,4595,11,90,94,69,432,3450,Fan,Smart,Medium,Wind,Average,No,None,Rainy
3562,Residential,2211,38,44,57,10,92,2998,AC,Analog,High,Solar,Poor,Yes,None,Rainy
1507,Residential,2174,81,90,127,23,134,2276,Fan,Analog,Low,Solar,Poor,Yes,Generator,Rainy
4052,Residential,3681,48,None,136,3,210,4395,Refrigerator,Smart,Medium,Wind,Good,No,None,Winter
3891,Residential,4115,62,65,82,38,126,3418,AC,Smart,High,Wind,Average,No,Generator,Rainy
3416,Residential,2098,55,70,123,35,306,4252,Fan,Analog,High,Solar,Good,No,None,Rainy
3673,Industrial,4188,89,61,114,64,0,4188,AC,Analog,High,Grid,Poor,No,Inverter,Summer
3274,Residential,6071,70,31,18,60,201,3497,Fan,Analog,High,Grid,Good,Yes,Generator,Winter
3239,Mixed-use,5622,36,98,148,2,123,3088,AC,Smart,High,Grid,Poor,No,None,Summer
4972,Residential,8744,81,59,138,50,194,4957,Refrigerator,Smart,Medium,Grid,Average,No,Generator,Rainy
862,Mixed-use,1035,29,92,30,44,36,1255,Heater,Analog,Medium,Grid,Good,No,None,Winter
2522,Residential,1156,35,90,145,39,17,2660,Refrigerator,Smart,High,Solar,Good,No,None,Rainy
3837,Commercial,5769,13,72,8,34,0,3864,Washing Machine,Smart,Low,Grid,Average,No,Generator,Rainy
3153,Mixed-use,3260,14,87,15,41,226,2869,Heater,Smart,Medium,Solar,Good,No,Inverter,Winter
3623,Residential,5919,66,76,186,23,250,4061,Heater,Analog,Low,Solar,Good,No,None,Summer
925,Mixed-use,1668,45,31,50,66,64,1105,Heater,Smart,Low,Wind,Good,Yes,Inverter,Winter
4982,Commercial,5591,55,33,83,68,0,4198,Heater,Smart,High,Wind,Average,No,None,Summer
2637,Mixed-use,4647,74,55,183,38,88,2358,Washing Machine,Analog,High,Solar,Average,Yes,None,Rainy
4522,Commercial,8955,73,46,25,8,0,3803,Fan,Smart,Low,Wind,Good,Yes,Generator,Winter
2114,Residential,1596,89,88,150,14,160,2489,AC,Smart,Medium,Grid,Poor,No,None,Summer
3842,Mixed-use,3051,31,92,91,44,175,3371,Fan,Analog,Medium,Grid,Average,No,Inverter,Summer
3139,Commercial,3705,15,48,152,6,0,2971,AC,Analog,Low,Grid,Good,Yes,None,Rainy
2532,Residential,1823,43,65,167,19,191,3047,AC,Smart,Medium,Wind,Good,Yes,Inverter,Rainy
2182,Residential,1000,29,48,136,16,14,1843,Heater,Analog,High,Grid,Poor,No,Generator,Summer
4306,Residential,7989,40,None,179,33,424,5418,Refrigerator,Smart,Medium,Grid,Average,No,Inverter,Summer
3897,Mixed-use,6928,46,36,47,51,351,2745,AC,Analog,Medium,Solar,Average,Yes,Generator,Summer
740,Commercial,1000,30,77,57,62,0,1700,Refrigerator,Smart,Medium,Solar,Average,Yes,Generator,Rainy
2807,Commercial,4184,76,86,71,56,0,3264,Washing Machine,Smart,High,Grid,Poor,No,Inverter,Rainy
1260,Commercial,2994,46,39,132,30,0,1343,Heater,Analog,Medium,Grid,Average,Yes,None,Rainy
3823,Mixed-use,7371,82,33,104,20,284,2465,Washing Machine,Analog,Low,Grid,Average,No,None,Winter
2658,Industrial,3574,57,46,4,2,0,2962,Refrigerator,Analog,Low,Wind,Average,No,Generator,Winter
4223,Residential,4114,31,77,94,7,210,4183,AC,Smart,High,Wind,Poor,Yes,Inverter,Winter
2526,Mixed-use,3606,35,39,193,11,197,1714,Fan,Analog,Low,Wind,Average,No,None,Summer
4216,Commercial,8728,39,30,155,21,0,3931,Fan,Analog,Low,Solar,Poor,Yes,None,Rainy
4565,Residential,8334,45,36,104,19,56,3348,Fan,Smart,Medium,Wind,Poor,Yes,Inverter,Summer
1963,Residential,3614,71,54,152,66,98,2457,Fan,Analog,Low,Grid,Average,No,None,Winter
1906,Industrial,2317,11,68,113,71,0,2767,AC,Analog,High,Solar,Poor,No,None,Summer
4537,Mixed-use,8400,49,43,65,24,311,3074,Refrigerator,Analog,High,Solar,Good,No,Generator,Summer
3951,Residential,6162,67,38,147,28,84,3529,Heater,Analog,Medium,Grid,Average,No,Inverter,Rainy
1203,Mixed-use,1490,79,58,139,72,61,1226,Heater,Analog,High,Wind,Average,Yes,Generator,Rainy
4144,Commercial,5787,49,75,11,60,0,3905,Fan,Smart,Medium,Solar,Poor,No,Generator,Winter
2514,Residential,3714,33,71,26,59,248,3391,Fan,Analog,Medium,Solar,Poor,Yes,Inverter,Rainy
2125,Industrial,1592,71,67,0,22,0,2452,Fan,Analog,High,Grid,Good,No,None,Rainy
2576,Mixed-use,4156,21,64,195,13,140,2327,AC,Smart,High,Grid,Poor,No,Inverter,Summer
3966,Commercial,4816,61,67,15,52,0,3769,Heater,Smart,Low,Grid,Average,No,Generator,Rainy
3211,Mixed-use,3627,32,100,154,62,200,2797,Fan,Smart,High,Solar,Average,No,None,Winter
1397,Residential,2566,51,68,109,15,79,1886,AC,Analog,High,Solar,Poor,No,Inverter,Summer
4924,Residential,4776,84,57,144,60,204,4123,Refrigerator,Smart,Low,Solar,Poor,No,Inverter,Rainy
1816,Commercial,2681,34,60,100,6,0,1888,Heater,Analog,High,Wind,Poor,No,None,Rainy
3767,Residential,3062,73,None,142,6,100,3089,Fan,Smart,High,Grid,Good,Yes,None,Winter
4755,Mixed-use,4084,22,55,166,60,57,3224,Fan,Smart,Medium,Grid,Average,No,Inverter,Rainy
2024,Commercial,2012,32,36,87,58,0,2015,Fan,Analog,High,Wind,Average,No,None,Rainy
3691,Industrial,1865,80,90,53,59,0,4581,AC,Smart,Low,Solar,Average,Yes,Generator,Summer
4700,Commercial,4187,66,96,105,61,0,4587,Heater,Analog,Medium,Solar,Average,Yes,Inverter,Winter
2054,Residential,2545,12,31,172,44,170,2283,Fan,Smart,High,Solar,Average,No,Generator,Winter
3440,Residential,5239,51,86,61,28,70,3240,AC,Smart,Low,Solar,Average,No,Generator,Summer
2369,Residential,1959,82,41,27,31,214,2876,Refrigerator,Smart,Medium,Solar,Average,Yes,None,Summer
4119,Residential,7927,79,64,137,11,121,3459,Refrigerator,Analog,Medium,Wind,Poor,No,Generator,Winter
1712,Commercial,2383,59,76,83,34,0,2514,AC,Analog,High,Grid,Good,Yes,Inverter,Winter
4551,Residential,8332,54,75,120,44,322,4850,Heater,Smart,Low,Grid,Average,Yes,Inverter,Summer
3286,Commercial,6338,38,91,165,55,0,3760,AC,Analog,Low,Grid,Poor,Yes,None,Winter
1532,Residential,1563,76,56,132,46,35,1647,Washing Machine,Analog,Medium,Wind,Average,No,None,Summer
3286,Residential,5543,61,78,169,70,138,3601,Fan,Analog,High,Solar,Average,Yes,None,Winter
1199,Residential,2622,37,61,60,28,52,2042,Heater,Analog,Medium,Grid,Average,No,None,Summer
4565,Residential,8334,45,36,104,19,56,3348,Heater,Smart,High,Wind,Average,Yes,Inverter,Winter
4690,Commercial,8090,12,96,106,25,0,4832,Fan,Analog,Medium,Solar,Good,Yes,Inverter,Summer
4008,Mixed-use,2479,29,41,154,52,52,2677,Refrigerator,Smart,Medium,Solar,Good,No,None,Winter
4488,Mixed-use,7951,80,82,94,4,142,3469,Washing Machine,Smart,High,Grid,Good,Yes,Generator,Summer
1864,Commercial,2513,24,61,92,26,0,2143,Fan,Analog,Medium,Solar,Average,No,None,Winter
3393,Commercial,2398,29,87,139,58,0,3496,Refrigerator,Smart,Medium,Solar,Poor,Yes,Generator,Winter
3337,Residential,6185,23,42,147,43,278,4029,Heater,Analog,High,Grid,Poor,Yes,None,Rainy
3689,Mixed-use,7763,15,62,56,20,261,2955,Washing Machine,Smart,Low,Solar,Average,Yes,None,Summer
1289,Residential,1917,90,87,29,46,108,1797,Washing Machine,Smart,Low,Solar,Average,No,Inverter,Rainy
1922,Residential,2229,24,82,35,35,28,2239,Heater,Analog,Low,Solar,Good,Yes,None,Winter
1702,Industrial,2285,75,88,51,66,0,2619,Heater,Analog,Low,Grid,Poor,Yes,Inverter,Rainy
924,Residential,1000,37,84,137,51,32,1775,AC,Analog,Medium,Solar,Poor,Yes,Generator,Rainy
4913,Commercial,7993,34,None,165,48,0,4513,Fan,Analog,High,Grid,Average,Yes,None,Summer
1871,Mixed-use,3397,14,95,71,31,13,2076,Heater,Analog,High,Grid,Average,No,None,Winter
2005,Commercial,3214,42,66,154,70,0,2332,Refrigerator,Analog,High,Grid,Average,Yes,Generator,Summer
937,Mixed-use,1625,26,55,111,71,53,1325,Fan,Smart,High,Solar,Good,Yes,Inverter,Winter
1097,Commercial,1111,34,78,11,33,0,1902,Washing Machine,Analog,High,Grid,Poor,No,None,Summer
2124,Commercial,1523,52,70,19,72,0,2175,Heater,Analog,Low,Grid,Poor,No,None,Winter
1388,Mixed-use,2009,60,30,50,56,91,1180,AC,Analog,Medium,Solar,Good,Yes,Generator,Rainy
1298,Mixed-use,1569,57,78,35,48,74,1332,Fan,Smart,High,Wind,Good,No,Generator,Winter
